
RLG|-33.747486|124.410583
HG|2.691908|74.320892
LLG|8.501864|99.269150
RHG|-29.016338|59.682396
RLG|-32.246956|122.643890
HG|3.812876|73.406616
LLG|10.658833|101.507851
RHG|-33.266594|56.213367
RLG|-30.624214|120.986160
HG|4.023153|74.311340
LLG|12.521213|103.186195
RHG|-33.442814|56.177853
RLG|-28.396347|119.242012
HG|6.513540|73.406616
LLG|12.665631|103.413406
RHG|-34.337234|55.464504
RLG|-27.983368|119.240646
HG|5.621330|73.728172
LLG|12.845142|103.434578
RHG|-35.468746|54.327393
RLG|-28.097334|119.601189
HG|6.362640|73.297401
LLG|12.021435|102.945908
RHG|-36.135902|126.159447
RLG|-31.050520|123.053177
HG|5.440289|74.554649
LLG|7.993507|98.381699
RHG|-29.004086|119.030762
RLG|-34.973469|125.671585
HG|7.266524|71.907135
LLG|5.455682|96.101944
RHG|-40.285603|134.325226
RLG|-36.177582|127.047295
HG|8.874434|67.170219
LLG|4.554012|94.825508
RHG|-46.940769|-153.306763
RLG|-36.829048|127.464783
HG|3.308024|75.795105
LLG|4.291445|94.850800
RHG|-35.020073|-130.210327
RLG|-36.347980|127.271309
HG|5.540389|71.114014
LLG|4.796954|95.416939
RHG|-40.707607|135.364319
RLG|-36.092545|126.947495
HG|3.967426|74.754234
LLG|5.005189|95.499443
RHG|-32.757133|126.447220
RLG|-36.187557|127.167328
HG|6.178406|73.154716
LLG|4.760621|95.180489
RHG|-58.323578|-179.740631
RLG|-36.171459|127.331947
HG|4.287183|75.440941
LLG|4.776160|95.619759
RHG|-61.862968|-164.691345
RLG|-35.781441|126.838646
HG|5.788656|71.178085
LLG|5.459120|95.755386
RHG|-38.906361|130.827087
RLG|-36.337952|127.153793
HG|2.670442|73.536598
LLG|5.482893|95.558754
RHG|-27.047323|127.401245
RLG|-37.018169|127.649605
HG|5.709544|73.825508
LLG|5.416895|95.643318
RHG|-33.285667|-179.134491
RLG|-36.218201|126.973679
HG|4.001051|74.844048
LLG|4.759913|95.273415
RHG|-22.996698|-114.436600
RLG|-35.565220|126.695976
HG|3.760374|73.865051
LLG|4.983744|95.679054
RHG|-42.124977|-133.271255
RLG|-35.973721|127.023674
HG|1.126642|77.226677
LLG|4.739595|95.460869
RHG|-56.348297|-165.878113
RLG|-36.895367|127.474823
HG|4.302863|97.955078
LLG|5.483546|95.488319
RHG|-33.310085|129.597519
RLG|-36.081207|126.573975
HG|17.071384|114.706825
LLG|6.364793|96.401375
RHG|-65.228874|2.788096
RLG|-36.911831|127.320396
HG|4.959482|94.965111
LLG|5.194066|95.238182
RHG|31.651196|-26.036209
RLG|-37.342918|127.601547
HG|-9.913939|100.147911
LLG|5.397083|95.471756
RHG|29.096363|-0.679572
RLG|-37.175476|127.500710
HG|6.842557|83.142174
LLG|5.233566|95.471291
RHG|-67.105057|175.106827
RLG|-37.147610|127.548592
HG|7.355218|99.812782
LLG|5.598954|95.639244
RHG|-37.653503|127.853813
RLG|-37.239243|127.538139
HG|3.404506|71.834152
LLG|4.777101|95.504128
RHG|-68.655487|173.934570
RLG|-36.651081|127.387390
HG|-0.902410|70.902367
LLG|4.796078|95.526001
RHG|-18.613297|-109.192253
RLG|-35.880741|127.332581
