
LLG|4.322183|95.371567
HG|5.453969|70.536972
RHG|-65.272095|-10.691802
LLG|3.852546|95.140862
HG|6.926351|70.413406
RLG|-0.236112|99.969711
RHG|-65.361557|-10.925188
LLG|3.854235|94.854156
HG|6.866772|70.894623
RLG|-0.235409|100.896935
RHG|-64.201515|-11.043816
HG|7.950490|70.938507
LLG|4.079348|95.170609
RLG|0.236176|101.173439
RHG|-65.613968|-12.762700
LLG|4.095495|95.191101
HG|6.785414|75.483955
RLG|-0.235409|100.896935
RHG|-67.290886|-12.881293
LLG|3.853420|94.994484
HG|8.319678|79.237572
RLG|0.000000|100.576584
RHG|-73.102524|-13.665519
LLG|3.868678|95.014282
HG|8.805744|79.599655
RLG|0.000000|100.346672
RHG|-70.404205|-165.280396
LLG|4.064968|94.887314
HG|8.817728|80.029961
RLG|0.000000|100.346672
RHG|-62.191032|-166.418671
LLG|4.603352|95.622086
HG|8.845597|79.782784
RLG|-0.467395|100.586784
RHG|-62.050629|-166.726685
LLG|3.853420|94.994484
HG|8.969079|80.010880
RLG|0.000000|100.762535
RHG|-62.136036|-165.986206
LLG|3.869502|94.873398
HG|8.764948|80.633835
RLG|-0.468081|100.127144
RHG|-62.331593|-166.582321
LLG|3.869502|94.873398
HG|9.050993|80.431198
RLG|-0.234463|100.852600
RHG|-60.751675|-166.291748
LLG|3.869502|94.873398
HG|9.720401|79.217300
RLG|-0.234281|101.082642
RHG|-47.392899|-152.480347
LLG|3.868678|95.014282
HG|9.153970|79.018867
RLG|-0.235322|99.697273
RHG|-30.398945|-153.873688
LLG|3.884892|94.892799
HG|9.451105|78.936928
RLG|0.234044|100.119110
RHG|-29.936346|-154.324554
LLG|4.740441|95.353081
HG|8.494423|80.396294
RLG|0.234817|100.391472
RHG|-33.002213|-152.576248
LLG|4.548735|95.555305
HG|8.323385|79.371788
RLG|-0.232939|100.307449
RHG|-49.755508|-148.974426
LLG|4.533474|95.175568
HG|6.808407|79.362564
RLG|0.233701|100.579140
RHG|-53.109276|-35.516411
LLG|4.342665|94.908722
HG|6.198295|79.512985
RLG|0.466534|99.856758
RHG|-50.246246|-34.373650
LLG|4.721061|95.439499
HG|6.717282|80.002228
RLG|0.234817|100.391472
RHG|-50.931675|-33.078156
LLG|4.550600|95.308884
HG|6.760939|79.605888
RLG|0.000000|100.157715
RHG|-38.914783|-32.842243
LLG|4.567776|95.450371
HG|5.751947|79.403145
RLG|0.000000|99.885872
RHG|-15.913903|-29.879721
LLG|4.308384|94.869949
HG|6.814316|78.474693
RLG|0.232498|99.579781
RHG|-7.242792|-29.763233
LLG|4.778759|95.294304
HG|6.808407|79.362564
RLG|0.000000|98.960411
RHG|-6.338954|-29.013496
LLG|4.516399|95.050797
HG|7.083154|79.303551
RLG|-0.704486|98.987831
RHG|-7.524913|-28.780836
